"","rank","Name_of_movie","Movie_genre","Year_of_release","Runtime_min","Ratings","Votes","Metascore","Gross_collection"
"1",1,"The Shawshank Redemption","Drama",1994,142,9.3,2384498,80,28.34
"2",2,"The Godfather","Crime",1972,175,9.2,1652566,100,134.97
"3",2,"The Godfather","Drama",1972,175,9.2,1652566,100,134.97
"4",3,"The Dark Knight","Action",2008,152,9,2347962,84,534.86
"5",3,"The Dark Knight","Crime",2008,152,9,2347962,84,534.86
"6",3,"The Dark Knight","Drama",2008,152,9,2347962,84,534.86
"7",4,"The Godfather: Part II","Crime",1974,202,9,1149888,90,57.3
"8",4,"The Godfather: Part II","Drama",1974,202,9,1149888,90,57.3
"9",5,"12 Angry Men","Crime",1957,96,9,704057,96,4.36
"10",5,"12 Angry Men","Drama",1957,96,9,704057,96,4.36
"11",6,"The Lord of the Rings: The Return of the King","Action",2003,201,8.9,1668051,94,377.85
"12",6,"The Lord of the Rings: The Return of the King","Adventure",2003,201,8.9,1668051,94,377.85
"13",6,"The Lord of the Rings: The Return of the King","Drama",2003,201,8.9,1668051,94,377.85
"14",7,"Pulp Fiction","Crime",1994,154,8.9,1857194,94,107.93
"15",7,"Pulp Fiction","Drama",1994,154,8.9,1857194,94,107.93
"16",8,"Schindler's List","Biography",1993,195,8.9,1232952,94,96.9
"17",8,"Schindler's List","Drama",1993,195,8.9,1232952,94,96.9
"18",8,"Schindler's List","History",1993,195,8.9,1232952,94,96.9
"19",9,"Inception","Action",2010,148,8.8,2106219,74,292.58
"20",9,"Inception","Adventure",2010,148,8.8,2106219,74,292.58
"21",9,"Inception","Sci-Fi",2010,148,8.8,2106219,74,292.58
"22",10,"Fight Club","Drama",1999,139,8.8,1886437,66,37.03
"23",11,"The Lord of the Rings: The Fellowship of the Ring","Action",2001,178,8.8,1688541,92,315.54
"24",11,"The Lord of the Rings: The Fellowship of the Ring","Adventure",2001,178,8.8,1688541,92,315.54
"25",11,"The Lord of the Rings: The Fellowship of the Ring","Drama",2001,178,8.8,1688541,92,315.54
"26",12,"Forrest Gump","Drama",1994,142,8.8,1844811,82,330.25
"27",12,"Forrest Gump","Romance",1994,142,8.8,1844811,82,330.25
"28",13,"Il buono, il brutto, il cattivo","Western",1966,161,8.8,698626,90,6.1
"29",14,"The Lord of the Rings: The Two Towers","Action",2002,179,8.7,1508418,87,342.55
"30",14,"The Lord of the Rings: The Two Towers","Adventure",2002,179,8.7,1508418,87,342.55
